,a/bangkok/01/1979,a/beijing/32/1992,a/fujian/411/2002,a/wisconsin/67/2005,a/brisbane/10/2007,a/perth/16/2009,a/victoria/361/2011,a/switzerland/9715293/2013,a/hongkong/4801/2014,a/swine/newyork/a01104005/2011,a/swine/iowa/a01480656/2014,a/swine/missouri/a01410819/2014,a/wuhan/359/1995,a/swine/texas/4199-2/1998,a/swine/minnesota/02782/2009,a/swine/indiana/a01729045/2016,a/swine/alberta/sd0038/2014,a/swine/alberta/sd0049/2014,a/swine/saskatchewan/sd0059/2014,a/swine/saskatchewan/sd0065/2014,a/swine/saskatchewan/sd0069/2015,a/philippines/2/1982,a/sichuan/02/1987,a/portchalmers/1/1973,a/turkey/ohio/313053/2004,a/swine/indiana/a01202866/2011,a/texas/1/1977,a/leningrad/360/1986,a/shanghai/11/1987,a/beijing/353/1989,a/sydney/5/1997,a/moscow/10/1999,a/swine/texas/4199-1/1998,a/swine/colorado/23619/1999,a/swine/minnesota/1146/2006,a/swine/iowa/1700/2007,a/swine/minnesota/2782/2009,a/swine/illinois/02970/2009,a/indiana/8/2011,a/swine/indiana/a00968373/2012,a/swine/illinois/a01201606/2011,a/swine/iowa/a01202613/2011,a/swine/iowa/a01049750/2011,a/swine/texas/a01049914/2011,a/swine/michigan/a01432375/2013,a/swine/iowa/a01432500/2013,a/swine/minnesota/a01432544/2013,a/swine/minnesota/a01280592/2013,a/swine/wyoming/a01444562/2013
a/bangkok/01/1979,0,-1,6.7,7.8,7,6.6,7.9,7.2,5.6,4.3,4.8,7,4.8,-1,-1,-1,-1,-1,-1,-1,-1,1.7,2.4,4.6,-1,-1,2.3,2.3,3,4,5.9,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/beijing/32/1992,4.8,0,6.9,-1,-1,7.6,7.5,7.3,6,3.6,5.1,-1,2.2,-1,-1,-1,-1,-1,-1,-1,-1,5,0.4,-1,-1,-1,5.6,2,1,3.7,7.5,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/fujian/411/2002,-1,3.3,0,2.7,1.9,3.6,3.8,2.8,5.6,-1,-1,0.8,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,3.8,-1,-1,-1,-1,8.3,-1,-1,7.3,-1,7.3,-1,-1,-1,-1,-1,-1,-1
a/wisconsin/67/2005,5,3.3,2,0,0.2,1.6,2,2.8,4.6,-1,-1,2.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1,6.4,4,4.6,-1,-1,4,4,2,5.7,-1,3.3,-1,-1,-1,7.6,8.8,-1,-1,-1,-1,7.1,-1,-1,-1,-1,-1,-1,-1
a/brisbane/10/2007,-1,3.8,4.1,1.8,0,3.6,3.7,4.9,4.6,-1,-1,5.1,2.7,-1,-1,-1,-1,-1,-1,-1,-1,6.4,4.4,4.6,-1,-1,5.6,4,4.6,5.3,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/perth/16/2009,-1,4.5,6,3.9,1,0,0.6,2.4,4,-1,-1,5.5,5.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4.6,-1,6.3,-1,6.6,-1,-1,-1,7.1,-1,-1,6.6,3,4.1,4.3,0.5,5.8,-1,-1,-1,-1,-1
a/victoria/361/2011,5.3,-1,6.4,3.9,1.2,0.5,0,2.2,4.6,2.6,-1,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,-1,-1,-1,5.6,4.6,4.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.1,5.7,1.8,-1,-1,-1,5.4,5,-1
a/switzerland/9715293/2013,-1,-1,6.4,5,2.3,1,2.3,0,4.6,4.9,-1,-1,4.6,-1,7.7,5.4,-1,-1,-1,-1,-1,-1,-1,5.1,-1,8.5,5,3.6,4,5.3,6.5,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/hongkong/4801/2014,5.8,-1,4.7,5.2,2,2.6,3.5,2.8,0,5.7,-1,5.5,5.3,7.3,7.2,6.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/newyork/a01104005/2011,-1,2.9,-1,-1,-1,6.6,6.9,-1,-1,-0.2,3.2,-1,5.2,4.1,2,5,-1,-1,-1,0.7,1.7,5.7,4.2,-1,2.3,3.8,4.2,-1,2.5,-1,-1,6.1,4.4,-1,-1,1.5,2.4,3.4,1.7,1.1,4.1,2.9,4.3,2.9,-1,4.4,4.4,2,4.3
a/swine/iowa/a01480656/2014,4.9,-1,6,-1,-1,-1,-1,-1,-1,1,0,-1,2.8,2.7,3.4,2.5,2.3,-1,1.5,2.3,2.4,-1,-1,-1,3.2,3.8,-1,3.6,3.2,4.2,5.3,-1,3.6,-1,-1,2.5,3.7,5,3,2.2,-1,4.5,2.8,3,-1,2.2,6.7,2,-0.4
a/swine/missouri/a01476459/2012,5.8,4.3,4.9,4.1,2,1,2,2.2,3,-1,-1,-1,4.6,4.8,6.6,-1,-1,-1,-1,-1,-1,7,5,-1,-1,7.9,-1,-1,-1,-1,6.5,5.5,-1,-1,-1,4.5,7.8,-1,6.6,7.3,-1,5.5,-1,4.2,-1,7,5.4,7,-1
a/swine/missouri/a01410819/2014,-1,-1,3,-1,-1,3.3,5.8,4.3,7,-1,-1,0,-1,5.3,6.6,5.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,4.6,-1,-1,6.3,-1,-1,5.2,-1,-1,3.8,5.6,-1,6.6,7,4.6,3.9,6,3.5,-1,4,5,6,-1
a/swine/ohio/16tosu4788/2016,-1,3.8,4.9,6,3.5,3.8,4.5,4,6,-1,-1,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/ohio/a01354299/2017,4.8,3.8,5.7,5.6,2.5,3,2.8,3.2,5.6,5.2,-1,-1,5.3,3.8,4.6,5.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/oklahoma/a02218157/2017,-1,-1,5.7,4.8,2,2,3.5,1.8,3.6,-1,-1,5,-1,6,6.2,5.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/wuhan/359/1995,4.8,2.7,6.6,-1,7,6.8,-1,-1,7.6,4.4,3.5,-1,0,2.2,5.2,4.5,-1,-1,-1,3.6,-1,-1,-1,5.1,3.4,5,4,2.6,3,3,3.9,5.1,2.5,-1,-1,3.8,4.8,-1,6.3,6.4,4.6,5.5,3.7,3.3,-1,-1,-1,-1,-1
a/swine/texas/4199-2/1998,-1,1.8,-1,7.8,-1,-1,-1,-1,6.6,4.6,3.9,8.5,1.2,0,3.4,4.4,2.4,2.9,1.8,2.6,3.2,-1,2.3,-1,4.4,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/minnesota/02782/2009,-1,3.8,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,4.8,4.3,0,5.7,-1,-1,-1,1.3,0.8,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/indiana/a01729045/2016,-1,4.8,7.1,-1,4.7,-1,5.9,5.2,6,4.3,3.2,7,4,3.8,5.7,0,-1,2.5,-1,2.8,-1,-1,-1,-1,2.8,3.5,-1,-1,-1,-1,5.5,-1,4.2,-1,-1,-1,6.2,-1,6.6,-1,-1,-1,-1,4.2,-1,5,-1,-1,2.4
a/swine/nebraska/a01567651/2015,-1,-1,-1,-1,5.5,-1,7,5.8,-1,2,5,-1,5.2,4.7,4.4,6.1,-1,-1,-1,1.1,2.3,6,2,-1,5,6.9,-1,-1,-1,-1,-1,-1,5.2,-1,-1,-1,5.2,-1,3.6,-1,-1,-1,-1,4.2,-1,4.4,-1,-1,3.4
a/swine/alberta/sd0038/2014,-1,-1,-1,-1,-1,-1,-1,6.8,-1,5.4,3.7,5.5,5.3,4.7,6.2,3.2,0,1.9,-1,3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/alberta/sd0049/2014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.3,6.3,5.2,4.4,-1,0,-1,3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/saskatchewan/sd0059/2014,-1,-1,-1,-1,-1,-1,8.5,6.2,-1,4.3,2,-1,1.1,2.7,3.4,3.1,1.9,-1,0,3.3,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/saskatchewan/sd0065/2014,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,-1,-1,5.3,1.9,3.4,6.2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/saskatchewan/sd0069/2015,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.1,6.1,-1,5.3,5.7,1.7,6.7,-1,-1,-1,2.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/denmark/15164-1-p1/2014,-1,4.8,-1,6.3,-1,-1,3.9,4.2,6,-1,-1,3,-1,5.3,6.6,6.6,-1,-1,-1,-1,-1,7,4.2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/8630565/2011,-1,3.2,-1,7.2,-1,-1,7.5,6.8,-1,2.8,5.5,-1,4.8,4.7,1.2,-1,-1,-1,-1,-1,-1,6.4,-1,5.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/8630459/2011,-1,2.2,-1,7.2,-1,-1,6.5,5.2,-1,2.4,5.2,8.5,3.2,3.7,0.2,-1,-1,-1,-1,-1,-1,5.4,4,5.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/9890611/2013,-1,2.2,-1,-1,-1,-1,7.9,6.8,-1,2.8,6.5,-1,3.2,2.7,1.6,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/84706352130/2015,-1,3.2,-1,-1,-1,-1,-1,6.8,-1,5.8,-1,-1,3.5,4.3,6.6,-1,-1,-1,-1,-1,-1,7,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/985778/2013,-1,3.2,-1,-1,-1,-1,-1,6.8,-1,5.4,-1,8.5,3.2,4.3,6.2,-1,-1,-1,-1,-1,-1,7,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/avx36/2012,-1,-1,-1,-1,-1,-1,8.5,7.8,-1,1.4,5,-1,4.5,3.7,-1,-1,-1,-1,-1,-1,-1,6,5,-1,-0.6,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/avx57/2013,-1,-1,-1,-1,-1,-1,8.5,7.8,-1,2.4,5.5,8.5,5.2,3.9,-1,-1,-1,-1,-1,-1,-1,6.4,-1,-1,1.7,6.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/avx53/2013,-1,-1,-1,6.8,-1,-1,7.9,6.8,-1,3.8,5.5,7.9,5.8,5.7,-1,-1,-1,-1,-1,-1,-1,6.4,5,-1,4.4,3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/turkey/ohio/313053/2004,-1,-1,-1,7.2,-1,-1,7.9,6.8,-1,1.8,5.5,8.5,5.2,5.7,-1,-1,-1,-1,-1,-1,-1,7,5,-1,0,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.3,4.6,2.8,2.4,1.2,-1,4.4,6,4,-1
a/swine/mexico/avx26/2012,-1,-1,-1,-1,-1,-1,7.5,6.2,-1,0.4,5,7.9,5.8,4.9,-1,-1,-1,-1,-1,-1,-1,5.7,-1,-1,1,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/mexico/avx15/2012,-1,-1,-1,6.5,-1,-1,5.5,5.2,-1,1.8,-1,8.5,4.8,7.3,-1,-1,-1,-1,-1,-1,-1,5.7,3,-1,4.4,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/moscow/10/1999,5.8,3.8,2.3,4.8,4.7,6.6,-1,7.2,-1,6.4,6,8.5,4.4,-1,-1,-1,-1,-1,-1,-1,-1,7,4,5.6,-1,8,5.6,4.6,3.3,6.3,3.3,0,5.2,-1,-1,4.8,4.1,-1,6.6,-1,-1,6.1,-1,-1,-1,-1,-1,-1,-1
a/shanghai/11/1987,4.8,3.2,7.7,-1,8,-1,-1,-1,-1,5.4,6.5,7.9,5.8,-1,-1,-1,-1,-1,-1,-1,-1,4.4,2.4,5,-1,-1,5,2,0,5,-1,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/sichuan/02/1987,5.8,2.2,-1,-1,8,7.6,-1,7.8,-1,5.8,5.5,8.5,4.8,-1,-1,-1,-1,-1,-1,-1,-1,6,0,5,-1,-1,5.6,4,1.3,4.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/portchalmers/1/1973,4.2,4.8,-1,-1,8,-1,8.5,7.8,-1,6.4,6.5,-1,5.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,-1,-1,4,-1,-1,6.3,7.5,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/michigan/a01104095/2016,-1,4.8,5.3,5.5,3.5,4,3.5,3.4,-1,4.8,4,0.1,5.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/beijing/353/1989,4.8,1.8,6.7,6.8,8,7,6.9,6.2,-1,5.4,5,7.9,3.8,-1,-1,-1,-1,-1,-1,-1,-1,5.4,1.4,4.6,-1,-1,5,1,0.6,0,5.5,6.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/sydney/5/1997,4.2,2.2,1.5,-1,5.8,7.6,-1,4.8,-1,-1,2.5,6.9,0.2,-1,-1,-1,-1,-1,-1,-1,-1,6,3.4,3,-1,-1,4.6,3,2.6,2.7,0,2,5.7,-1,-1,4.8,4.6,-1,6.6,8.3,-1,7.2,6,-1,-1,-1,-1,-1,-1
a/texas/1/1977,2.8,3.8,6.7,-1,7,5.6,7.9,4.8,-1,3.4,5.5,7.9,3.8,-1,-1,-1,-1,-1,-1,-1,-1,3.7,4,3.6,-1,-1,0,4,4,3.7,5.5,6.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/philippines/2/1982,2.2,3.2,5.7,5.8,5.5,5.6,6.9,5.8,-1,3,-1,6.1,2.8,-1,-1,-1,-1,-1,-1,-1,-1,0,1,3,-1,-1,4,0.3,-0.7,3,3.5,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/leningrad/360/1986,2.8,3.8,7.1,7.8,7.5,7,7.5,7.2,-1,3.4,-1,6.9,4.5,-1,-1,-1,-1,-1,-1,-1,-1,1,2.4,3,-1,-1,4.6,0,0.6,5.3,5.9,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/texas/4199-1/1998,-1,-1,-1,7.8,7,7.6,-1,-1,-1,4.4,-1,8.5,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.9,-1,-1,-1,-1,5.7,5.3,0,-1,-1,4.5,3.8,5,6.6,7.3,-1,5.9,3.7,3.2,-1,-1,-1,-1,-1
